eval_period,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly,monthly
model,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
top_n,10,20,30,40,50,100,1000,10,20,30,40,50,100,1000,10,20,30,40,50,100,1000,10,20,30,40,50,100,1000,10,20,30,40,50,100,1000,10,20,30,40,50,100,1000
2013-02-01,0.043920247595346615,0.0483298002123115,0.0462846389934539,0.05117094756842999,0.05097998688895321,0.047910331586503895,0.04940303045011248,0.025023467484878287,0.02573467813739265,0.022832958078732764,0.021281292947889607,0.017558965314256592,0.0161670020376277,0.016267080756098073,0.05047692189285014,0.050789810946484985,0.04581872060192089,0.0435363667462376,0.043692715645384496,0.042474612146590984,0.042926403383999286,0.07183106106586053,0.05845635673549076,0.06388142954136503,0.0694445862497643,0.07006639190012494,0.06554271196991039,0.06707601545009191,0.05780526093756618,0.05280800942303853,0.06111514555840089,0.06051900836458382,0.05886169732006479,0.056172736031820256,0.055206808501368616,0.12135008053756913,0.11513921167287747,0.12247017364109601,0.11431644515285994,0.10386964187308617,0.09003847969541696,0.08546236912507937
2013-03-01,0.03415130845960785,0.046825935852506724,0.05008103011546708,0.05070832357010092,0.046338289861649624,0.05305415995056722,0.05549074714886957,0.0027308926198981185,0.013047838549079021,0.011392974175110314,0.01099550810784066,0.011970153582263011,0.01620384259778513,0.015582323840650255,0.056033792991542354,0.05006299341453106,0.04838351004095866,0.04910104834348827,0.051901094889320244,0.04760580898878601,0.049391921915705586,0.06991266382195437,0.06373445310943866,0.05452213140717759,0.05885392609851634,0.06512347589638752,0.06134749723063748,0.06610972861531843,0.06419476871916387,0.0652701492685552,0.0661966321042739,0.06213474862800169,0.05573772960522696,0.05808174055380334,0.06151709911734517,0.07731017200109071,0.10646996522323618,0.09673407375143563,0.10365346593903456,0.10122826410084972,0.09397756762938507,0.11405818111087083
2013-04-01,0.05084784522102491,0.04404386254170981,0.04201422894165782,0.044613174364720586,0.04298435668398968,0.04679943324359358,0.05203445059833472,0.007150285536640543,0.010166663913532643,0.01668977597021296,0.02008806193958873,0.021066410522269152,0.020565796699135216,0.022143303672211505,0.04228804766098951,0.043470013964885985,0.048161956560901074,0.04882035109540851,0.04843978077443959,0.04674791408338113,0.04205797588540057,0.08623581867115446,0.07726525881365712,0.07964943338085738,0.07463572520342501,0.07239679854181275,0.07231441828217178,0.06794702599557255,0.057505007778239435,0.057870423751289264,0.057666673610759216,0.058075755184651766,0.06174172326133023,0.06344084000906158,0.06512586297637257,0.05209998452635072,0.06332113332789524,0.06233983530165158,0.06025137840014174,0.06487738362220145,0.0649637385187692,0.06788932725006203
2013-05-01,0.06306094615891804,0.060120008608090435,0.06336621735419953,0.06229686126145594,0.061999947670891405,0.05436957567112419,0.05855043651185234,0.008328867058938037,0.003524545484479597,0.009276297681404056,0.01000294014990194,0.007708630459088452,0.007173400196019172,0.011670059568550934,0.04164412057351703,0.04309467442715251,0.03998246902071099,0.03888509131224227,0.043366290894615835,0.04627544364272199,0.04367247278267138,0.07164454963089907,0.07340391264475292,0.0780671399484581,0.08398661845293037,0.07841705087429214,0.0709680063824786,0.06564262090389368,0.061441080555267744,0.05957296403908333,0.051321827428722024,0.049106975075345685,0.054038433346861744,0.05216736723358538,0.05639708799481092,0.10622644049426742,0.09459901635272802,0.08582559685321547,0.08893499384416516,0.09256568462228383,0.09601719177960957,0.10776325953382257
2013-06-01,0.03459645899166926,0.03910446256373312,0.04334168056375466,0.03980217747205092,0.04288954680311043,0.051825148507001484,0.05591054436029123,0.012167278884695319,0.01740232487319483,0.01719434524078971,0.01704258496872942,0.016423482809640053,0.01651613843511091,0.01831489911409128,0.03700500255227324,0.035050918540095816,0.03387846784623072,0.03926693071151357,0.03695599971901859,0.0417652324462782,0.04043878673920457,0.030616128726553917,0.04448021011768931,0.04675408335840314,0.05078289180624858,0.05458877485195115,0.05715740538008242,0.06558416245969448,0.08842130821470165,0.07862006257176196,0.0774234691631526,0.0800871261527141,0.07896048620303679,0.07539513556966089,0.07224465288750777,0.10652888845079245,0.11489671888637237,0.11763994959751978,0.10861571487468719,0.10898240274384091,0.10611646988586822,0.0969709582612719
2013-07-01,0.04727553332678062,0.054577367368377074,0.05004543778418622,0.04858772945267265,0.049416835304941724,0.054012214081008564,0.054032765702326735,0.014430956814321634,0.02020932447542252,0.01916229661423103,0.01918394400054866,0.01781944728066891,0.018281548245065508,0.01948169829987716,0.05573848438417813,0.04320946124561673,0.03467497917697256,0.03618584817981786,0.036473658719393336,0.03667593500694914,0.0365857046803688,0.05867761689855144,0.06909634016320289,0.06676439905148127,0.06431230854347339,0.059542511893830065,0.06186838642691626,0.06106829946733276,0.04864659536589333,0.06254555481575831,0.061207519878026626,0.05681302170471167,0.058480396885590875,0.06486290542092728,0.06634960316160697,0.08943326057564181,0.09405706064587574,0.0899812370219442,0.07792983515409464,0.0765451728691488,0.0804205433901461,0.08550458312447279
2013-08-01,0.03891727176066421,0.052662306965321926,0.04371387559291648,0.04524801508612872,0.04504218944949381,0.04808049173386356,0.055331641235363396,0.010177358286864103,0.017525088882700424,0.02055469302576225,0.021911115507882845,0.02264502148972531,0.019196651064993138,0.01704528957979551,0.042143160258277974,0.040365143793069505,0.03743470080151423,0.04043546503078708,0.03842763674704297,0.03696309267656106,0.04026845986339654,0.05611220348540394,0.0523507057003959,0.05983911057645747,0.06067654350055749,0.06199523134980987,0.061640069951205474,0.06444689853484552,0.0822457209828549,0.07783844201733574,0.07281279431650045,0.07585390077623695,0.0715703807968577,0.07413508394686212,0.07632273343036353,0.09982348117780901,0.10568198166777898,0.11645467452906315,0.10771589461660865,0.10540452686577825,0.10451618775566497,0.10126880820904059
2013-09-01,0.049659276458425404,0.05648686208131457,0.054692227775361014,0.04786192518526984,0.04933844624257197,0.05227159014779478,0.05739096523367669,0.015829280767910472,0.019601754011367434,0.019346511896815754,0.015068733569728278,0.01630114805160523,0.01761025598860141,0.016556984626053015,0.045761903402902246,0.03993483144081879,0.04116975015538282,0.04125874264708551,0.03876400124347928,0.03769603503519719,0.035615084557840695,0.06798586219388551,0.07672072529020706,0.06965035957544015,0.06678025156037014,0.05890699495336467,0.0590810819714713,0.0588089438523839,0.09728695430905705,0.09421168482524936,0.0851952946565464,0.08489882804362393,0.08296105814377691,0.07787568448652135,0.07393645198306177,0.1307323851864914,0.11178709901036402,0.11498708441012534,0.11521790565522827,0.12201595520974166,0.11780992677172007,0.10954743414883177
