iter	Logloss
42	0.4792919612443	0.4783488096444	0.4775037928445	0.4767399189446	0.4759671705447	0.4752032795448	0.4745013675449	0.4738114957550	0.4731709749551	0.4725828395552	0.4720594019553	0.4715195599554	0.4709820426555	0.4705339502556	0.4700433545557	0.4695760565858	0.4691606135959	0.4687622556060	0.4683552216161	0.4679790162	62	0.4676234463	63	0.467277064	064	0.466940965	065	0.466628866	066	0.466308967	067	0.466025168	068	0.46571469	0.69	0.46545670	0.70	0.46520371	71	0.4649781572	72	0.4647588073	73	0.4645271474	74	0.4643277475	75	0.4640826276	76	0.4638745077	77	0.4636523578	78	0.4634639479	79	0.4632670280	80	0.463062568181	0.4628944478282	0.4627506448383	0.4625842878484	0.4624162358585	0.4622451378686	0.4621055168787	0.461953415888	0.4618000398989	0.4616445069990	0.4615144899991	0.4613738129992	0.461259993	993	0.461133494	994	0.461020195	995	0.460869096	996	0.460744197	997	0.460610098	998	0.460483399	999	0.46035771001100	0.46025801011101	0.46014331021102	0.46003581031103	0.45993101041104	0.45983371051105	0.45971541061106	0.45961511071107	0.4594906108108	0.45940104101109	0.45928745111110	0.45919950111111	0.45907347111112	0.45898874111113	0.45889482111114	0.45879304111115	0.45868167111116	0.45859112111117	0.45850054111118	0.45839584111119	0.45830506121120	0.45822922121121	0.45813600121122	0.45805231121123	0.45795191212124	0.4578489121125	0.45776791261126	0.45768031271127	0.45760112812128	0.45750912912129	0.45741013013130	0.4573411313131	0.45725151313132	0.45718133	13133	0.4570913134	134	0.4570213135	135	0.4569313136	136	0.4568813137	137	0.4568013138	138	0.4567413139	139	0.4566140140	140	0.456514141	0141	0.456414142	0142	0.45641143	0.143	0.45631144	0.144	0.45621145	0.145	0.45611146	0.146	0.4560147	0.4147	0.456148	0.45148	0.455149	0.45149	0.4150	0.4582150	0.151	0.45815151	0152	0.458093152	0153	0.458014153	0154	0.457927154	0155	0.457877155	156	0.4578138156	157	0.4577422157	158	0.4576881158	159	0.4576038159	160	0.4575333160	161	0.4574646161	162	0.4573930162	163	0.4573324163	164	0.4572683164	165	0.4572143165	166	0.4571568166	167	0.4571092167	168	0.4570442168	169	0.4569884169	170	0.4569210170	171	0.4568617171	172	0.4567996172	173	0.4567392173	174	0.4566561174	175	0.456603175	0176	0.456528176	0177	0.456451177	0178	0.456382178	0179	0.456320179	0180	0.456242180	0181	0.456171181	0182	0.456098182	0183	0.45603183	0.184	0.45596184	0.185	0.45590185	0186	0.455849186	0187	0.455793187	0188	0.455711188	0189	0.455657189	190	0.4556041190191	0.45553378191192	0.4554838192	193	0.4554286193	194	0.4553820194	195	0.4553197195	196	0.4552563196	197	0.45519197	0.198	0.45513198	0.199	0.45507199	0.200	0.45502200	0201	0.454952201	0202	0.454900202	0203	0.454827203	204	0.4547536204	205	0.4546980205	206	0.4546494206	207	0.4545883207	208	0.454546208	0209	0.454502209	0210	0.454450210	0211	0.454398211	0212	0.454335212	0213	0.454287213	0214	0.454244214	215	0.4541796215	216	0.4541398216	217	0.4540793217	218	0.454003218	219	0.4539728219	220	0.4539080220	221	0.4538328221	222	0.4537799222223	0.45373185223224	0.45367367224225	0.45362739225226	0.45357901226227	0.45350631227228	0.45344953228229	0.4533814229	230	0.4533293230	231	0.4532622231	232	0.4532216232	233	0.453161233	0234	0.453129234	0235	0.453071235	0236	0.452997236	237	0.4529511237	238	0.4529087238239	0.45283618239240	0.45278489240241	0.45272370241242	0.45265703242243	0.45259878243244	0.45254123244245	0.45248121245246	0.45242116246247	0.45238561247248	0.45232776248249	0.45226828249250	0.4522183250	251	0.4521469251	252	0.4520759252	253	0.4520158253	254	0.4519642254	255	0.4518985255	256	0.4518409256	257	0.4517921257	258	0.451733258	0259	0.451680259	0260	0.451621260	0261	0.451555261	0262	0.45148262	0.263	0.45141263	0.264	0.45135264	0265	0.451314265	266	0.4512776266	267	0.451236267	0268	0.4511268	0.4269	0.451269	0.44270	0.451270	0.44271	0.451271	0.44272	0.450272	0.44273	0.450273	0.4274	0.450274	0.44275	0.4275	0.4480276	0.4276	0.4479277	0.4277	0.4479278	0.4278	0.4478279	0.4279	0.4477280	0.4280	0.4477281	0.4281	0.4476282	0.4282	0.4476283	0.4283	0.4475284	0.4284	0.4475285	0.4285	0.4474286	0.4286	0.4473287	0.4287	0.4473288	0.4288	0.4472289	0.4289	0.4472290	0.4290	0.4471291	0.4291	0.4471292	0.4292	0.4470293	0.4293	0.4470294	0.4294	0.4469295	0.4295	0.4469296	0.4296	0.4468297	0.4297	0.4467298	0.4298	0.446299	0.44299	0.446300	0.44300	0.446301	0.44301	0.446302	0.44302	0.446303	0.44303	0.446304	0.44304	0.446305	0.44305	0.446306	0.44306	0.446307	0.4307	0.4462308	0.4308	0.4309	0.4491309	0.4310	0.4490310	0.4311	0.4490311	0.4312	0.4489312	0.4313	0.4489313	0.4314	0.4488314	0.4315	0.4488315	0.4316	0.4487316	0.4317	0.4487317	0.4318	0.4487318	0.4319	0.4486319	0.4320	0.4486320	0.4321	0.4485321	0.4322	0.4485322	0.4323	0.4484323	0.4324	0.4484324	0.4325	0.4484325	0.4326	0.4483326	0.4327	0.4482327	0.4328	0.448328	0.44329	0.448329	0.44330	0.44330	0.445331	0.44331	0.444332	0.44332	0.444333	0.4333	0.4448334	0.4334	0.4448335	0.4335	0.4447336	0.4336	0.4447337	0.4337	0.4446338	0.4338	0.444339	0.44339	0.444340	0.44340	0.444341	0.44341	0.444342	0.44342	0.444343	0.44343	0.444344	0.44344	0.444345	0.44345	0.44346	0.447346	0.44347	0.447347	0.44348	0.44348	0.444349	0.44349	0.444350	0.44350	0.44351	0.447351	0.44352	0.447352	0.353	0.44699353	0.354	0.44692354	0.355	0.44688355	0.356	0.44684356	0.357	0.44678357	0.358	0.44673358	0.359	0.44668359	0.360	0.44663360	0.361	0.44657361	0.362	0.44652362	0.363	0.44647363	0.364	0.44640364	0.365	0.44637365	0.366	0.44634366	0.367	0.44629367	0.368	0.44624368	0.369	0.44618369	0.370	0.44612370	0.371	0.44606371	0.372	0.44604372	373	0.4459759373374	0.44593618374375	0.44589826375376	0.44583272376377	0.44580744377378	0.44576170378379	0.44572566379380	0.44567849380381	0.4456410381	382	0.4455873382	383	0.4455371383384	0.44548144384385	0.44542752385386	0.4453789238387	0.44532522638388	0.44527002438389	0.44520030938390	0.4451553153391	0.44510734053392	0.44506315713393	0.44502016113394	0.44496673
395	0.4449436367
396	0.444894433
397	0.444854549
398	0.4448074107
399	0.4447767809
400	0.4447500272
401	0.4447199451
402	0.4446732973
403	0.4446268681
