iter	Passed	Remaining
401	19280	64652
402	19329	64606
403	19377	64558
404	19422	64502
405	19468	64448
406	19515	64396
407	19563	64349
408	19608	64289
409	19655	64238
410	19702	64188
411	19748	64136
412	19797	64091
413	19845	64042
414	19892	63993
415	19941	63945
416	19988	63895
417	20034	63841
418	20081	63792
419	20130	63747
420	20178	63699
421	20226	63649
422	20273	63600
423	20321	63554
424	20368	63501
425	20416	63455
426	20464	63405
427	20511	63354
428	20557	63302
429	20607	63259
430	20653	63205
431	20699	63151
432	20745	63098
433	20791	63045
434	20840	63001
435	20886	62948
436	20936	62904
437	20982	62852
438	21028	62796
439	21074	62744
440	21121	62694
441	21167	62641
442	21216	62595
443	21262	62543
444	21311	62497
445	21357	62445
446	21403	62391
447	21451	62343
448	21501	62302
449	21547	62247
450	21594	62198
451	21641	62147
452	21687	62093
453	21732	62039
454	21778	61985
455	21826	61937
456	21873	61887
457	21920	61837
458	21966	61784
459	22015	61738
460	22062	61688
461	22109	61638
462	22157	61590
463	22201	61531
464	22248	61482
465	22294	61429
466	22339	61373
467	22385	61321
468	22434	61275
469	22482	61229
470	22528	61176
471	22574	61122
472	22622	61077
473	22670	61029
474	22727	61005
475	22788	60992
476	22847	60974
477	22905	60953
478	22960	60924
479	23015	60894
480	23076	60881
481	23133	60856
482	23191	60835
483	23250	60815
484	23305	60785
485	23361	60758
486	23417	60730
487	23473	60704
488	23529	60676
489	23588	60655
490	23645	60630
491	23698	60594
492	23745	60543
493	23791	60490
494	23838	60440
495	23886	60390
496	23932	60336
497	23978	60283
498	24027	60237
499	24072	60182
500	24121	60135
501	24167	60082
502	24216	60036
503	24262	59982
504	24309	59932
505	24355	59877
506	24400	59822
507	24445	59766
508	24491	59712
509	24538	59661
510	24583	59607
511	24631	59558
512	24677	59505
513	24724	59455
514	24771	59402
515	24817	59349
516	24861	59293
517	24908	59241
518	24953	59187
519	25000	59134
520	25048	59086
521	25095	59037
522	25143	58988
523	25189	58935
524	25236	58885
525	25282	58832
526	25328	58780
527	25378	58736
528	25423	58681
529	25473	58636
530	25519	58584
531	25566	58534
532	25615	58488
533	25663	58439
534	25708	58385
535	25757	58337
536	25805	58290
537	25852	58240
538	25899	58188
539	25947	58141
540	25998	58100
541	26046	58052
542	26094	58002
543	26138	57947
544	26186	57897
545	26236	57854
546	26283	57804
547	26330	57754
548	26378	57705
549	26422	57649
550	26470	57601
551	26517	57549
552	26565	57503
553	26609	57444
554	26658	57399
555	26705	57349
556	26752	57300
557	26799	57248
558	26847	57201
559	26897	57156
560	26943	57104
561	26989	57053
562	27036	57001
563	27083	56951
564	27130	56901
565	27177	56851
566	27224	56801
567	27272	56753
568	27320	56705
569	27369	56659
570	27415	56607
571	27461	56555
572	27506	56500
573	27553	56450
574	27601	56403
575	27647	56351
576	27694	56300
577	27743	56254
578	27793	56210
579	27841	56162
580	27891	56118
581	27938	56070
582	27985	56018
583	28035	55974
584	28084	55928
585	28129	55874
586	28174	55821
587	28222	55773
588	28269	55723
589	28316	55672
590	28361	55619
591	28409	55570
592	28455	55519
593	28503	55471
594	28550	55422
595	28597	55372
596	28643	55320
597	28691	55271
598	28738	55222
599	28787	55175
600	28835	55128
601	28883	55080
602	28931	55032
603	28979	54984
604	29025	54932
605	29073	54884
606	29124	54841
607	29170	54791
608	29217	54741
609	29266	54695
610	29312	54642
611	29361	54597
612	29408	54546
613	29453	54494
614	29500	54444
615	29548	54396
616	29593	54342
617	29641	54294
618	29688	54245
619	29736	54197
620	29783	54147
621	29831	54098
622	29877	54047
623	29924	53999
624	29970	53947
625	30018	53898
626	30066	53850
627	30111	53797
628	30158	53748
629	30203	53695
630	30250	53645
631	30296	53593
632	30344	53546
633	30391	53496
634	30436	53444
635	30484	53396
636	30531	53346
637	30578	53296
638	30624	53245
639	30673	53198
640	30721	53151
641	30769	53103
642	30816	53053
643	30861	53002
644	30909	52954
645	30957	52905
646	31007	52860
647	31055	52813
648	31100	52760
649	31144	52706
650	31191	52656
651	31238	52607
652	31286	52558
653	31332	52508
654	31380	52461
655	31426	52408
656	31473	52360
657	31519	52308
658	31565	52257
659	31612	52208
660	31658	52157
661	31705	52107
662	31750	52055
663	31796	52003
664	31843	51954
665	31890	51905
666	31937	51856
667	31983	51805
668	32028	51753
669	32076	51705
670	32125	51659
671	32173	51612
672	32222	51565
673	32269	51516
674	32312	51459
675	32359	51411
676	32408	51364
677	32455	51315
678	32500	51263
679	32545	51210
680	32592	51161
681	32637	51110
682	32684	51061
