iter	Passed	Remaining
399	41198	10299
400	41299	10196
401	41397	10091
402	41496	9988
403	41596	9884
404	41694	9780
405	41792	9676
406	41890	9572
407	41990	9468
408	42089	9364
409	42190	9261
410	42288	9157
411	42388	9053
412	42491	8951
413	42589	8847
414	42692	8744
415	42792	8640
416	42895	8538
417	42995	8434
418	43094	8330
419	43196	8227
420	43298	8124
421	43399	8021
422	43502	7918
423	43601	7815
424	43700	7711
425	43801	7608
426	43900	7505
427	43999	7401
428	44101	7298
429	44205	7196
430	44304	7092
431	44433	6994
432	44570	6896
433	44698	6797
434	44825	6698
435	44962	6599
436	45091	6500
437	45216	6400
438	45338	6299
439	45435	6195
440	45533	6091
441	45637	5988
442	45737	5884
443	45833	5780
444	45931	5676
445	46031	5573
446	46129	5469
447	46229	5365
448	46327	5262
449	46424	5158
450	46528	5055
451	46627	4951
452	46724	4847
453	46820	4743
454	46922	4640
455	47022	4537
456	47123	4433
457	47221	4330
458	47319	4226
459	47417	4123
460	47518	4019
461	47614	3916
462	47718	3813
463	47817	3709
464	47921	3606
465	48022	3503
466	48127	3400
467	48225	3297
468	48320	3193
469	48416	3090
470	48517	2987
471	48617	2884
472	48718	2780
473	48819	2677
474	48914	2574
475	49013	2471
476	49113	2368
477	49212	2265
478	49312	2161
479	49410	2058
480	49510	1955
481	49614	1852
482	49712	1749
483	49822	1647
484	49922	1543
485	50023	1441
486	50124	1338
487	50224	1235
488	50329	1132
489	50428	1029
490	50529	926
491	50626	823
492	50728	720
493	50833	617
494	50932	514
495	51031	411
496	51132	308
497	51230	205
498	51333	102
499	51432	0
