iter	Logloss	Accuracy
368	0.4114243368	0.827886537
369	0.4114089109	0.8278975786
370	0.4113941498	0.8278843287
371	0.4113799593	0.8278799121
372	0.4113556299	0.8278754955
373	0.4113374021	0.8278754955
374	0.4113297648	0.8278666623
375	0.4113022692	0.8278975786
376	0.4112821499	0.8278688706
377	0.4112681309	0.8278975786
378	0.4112528738	0.8279307032
379	0.4112413337	0.8279262866
380	0.4112240069	0.8279240783
381	0.4111941605	0.8279152451
382	0.4111834978	0.8279174534
383	0.411167016	0.8279439531
384	0.4111515398	0.8279240783
385	0.4111346301	0.8279616196
386	0.4111147582	0.8279395365
387	0.4110969882	0.827950578
388	0.4110812368	0.8279726611
389	0.4110648992	0.827985911
390	0.4110458463	0.8279792861
391	0.4110129	0.8279549946
392	0.4109849843	0.8279726611
393	0.4109710824	0.8279704528
394	0.4109490932	0.8279837027
395	0.4109234767	0.8279792861
396	0.4108996845	0.8279903276
397	0.4108816748	0.8280124107
398	0.4108617909	0.8280168273
399	0.4108503221	0.8280322855
400	0.4108410332	0.8280543686
401	0.4108115216	0.8280389104
402	0.4107895919	0.8280521603
403	0.4107702061	0.8280477437
404	0.410767664	0.8280477437
405	0.4107576251	0.8280632018
406	0.410743016	0.828049952
407	0.4107202862	0.8280587852
408	0.4106975748	0.8280676184
409	0.4106699521	0.8280830766
410	0.4106513274	0.8280654101
411	0.4106275148	0.828113993
412	0.4105968344	0.8281360761
413	0.4105681698	0.8281559508
414	0.4105584024	0.828171409
415	0.4105430052	0.8281934921
416	0.410532811	0.8281846589
417	0.4105239927	0.8282023254
418	0.4105193515	0.828206742
419	0.4104966679	0.8282420749
420	0.4104890405	0.8282310334
421	0.4104725971	0.8282310334
422	0.4104606597	0.8282553248
423	0.4104406758	0.828264158
424	0.4104204085	0.8282531165
425	0.4104057097	0.828270783
426	0.4103906665	0.8282818245
427	0.4103769521	0.8282818245
428	0.4103669567	0.8282884494
429	0.410347318	0.828328199
430	0.4103405827	0.8283039076
431	0.410333411	0.8283304073
432	0.4103173715	0.8283105325
433	0.4103110983	0.8283083242
434	0.410296967	0.8282950744
435	0.4102761491	0.8282840328
436	0.410261319	0.8283016993
437	0.4102367287	0.828328199
438	0.4102187939	0.8283502821
439	0.4102008054	0.8283745735
440	0.4101879641	0.82839224
441	0.4101793602	0.8283900317
442	0.4101652475	0.8284165314
443	0.4101482209	0.8284364062
444	0.4101237931	0.8284430311
445	0.4101063873	0.828456281
446	0.4100879198	0.828420948
447	0.4100679232	0.8284032815
448	0.4100486117	0.8284032815
449	0.4100356372	0.8284010732
450	0.4100123763	0.8284010732
451	0.4099841506	0.8284319896
452	0.4099624159	0.828427573
453	0.4099510088	0.8284452394
454	0.4099267323	0.8284673225
455	0.4099204649	0.8284651142
456	0.4099046849	0.8284651142
457	0.4098882309	0.8284518644
458	0.4098723827	0.8284673225
459	0.4098545132	0.8285070721
460	0.4098436082	0.8285004472
461	0.4098268848	0.8285114887
462	0.4098059717	0.8285424051
463	0.4097831443	0.8285644882
464	0.4097664467	0.8285379885
465	0.4097492393	0.8285556549
466	0.4097255589	0.8285534466
467	0.4097042719	0.8285711131
468	0.4096918715	0.8285512383
469	0.4096719564	0.8285711131
470	0.4096591141	0.8285821546
471	0.4096473216	0.8285755297
472	0.4096432321	0.8285689048
.829083441
