iter	Accuracy	Logloss
160	0.7854540216	0.4732608407
161	0.7855161622	0.47322699
162	0.7854695568	0.4731974644
163	0.7854483725	0.4731712047
164	0.7854540216	0.4731389869
165	0.7854723813	0.473113963
166	0.7855260482	0.473083643
167	0.7855542939	0.4730534112
168	0.7855783028	0.473023665
169	0.7856206713	0.472992374
170	0.7856051362	0.4729758679
171	0.7856008993	0.4729452831
172	0.7856460925	0.4729154486
173	0.7856263205	0.4728798766
174	0.7856178468	0.4728623113
175	0.7856418556	0.4728356103
176	0.7856884611	0.4728111601
177	0.7856602153	0.4727707334
178	0.7856898733	0.4727423994
179	0.7857011716	0.472715566
180	0.7856955225	0.4726973828
181	0.7857039962	0.4726685192
182	0.7857393033	0.4726310054
183	0.7857576631	0.4725989642
184	0.7857506016	0.4725769413
185	0.7857449525	0.4725554481
186	0.7857265928	0.4725266728
187	0.7857506016	0.4724959114
188	0.7857774351	0.4724813031
189	0.7857986193	0.4724602071
190	0.7858409879	0.472438758
191	0.7858692336	0.4724107771
192	0.7858579354	0.4723794861
193	0.7859101899	0.4723515493
194	0.7859243128	0.4723177428
195	0.7860118745	0.4722851719
196	0.7859836288	0.4722619575
197	0.7859892779	0.4722393168
198	0.7859864534	0.472204804
199	0.7860584799	0.4721771762
200	0.7860909625	0.4721509165
201	0.7861022608	0.4721307914
202	0.7860937871	0.4721030312
203	0.7860598922	0.4720677682
204	0.7860824888	0.4720442007
205	0.7860556554	0.4720251789
206	0.7860598922	0.4719974187
207	0.7860740151	0.4719731009
208	0.7860740151	0.4719525345
209	0.7861149714	0.4719212435
210	0.7861361556	0.4718827587
211	0.7860966116	0.4718655465
212	0.7860994362	0.4718335494
213	0.7861036731	0.4717940937
214	0.7861262696	0.4717736155
215	0.7861149714	0.4717517692
216	0.7861064976	0.4717224643
217	0.7861192082	0.4717091359
218	0.7861446294	0.4716827438
219	0.7861361556	0.4716595735
220	0.7861432171	0.4716361383
221	0.7861488662	0.4716069658
222	0.7861714628	0.4715881206
223	0.7861799365	0.4715736006
224	0.7862067699	0.4715505185
225	0.7861997085	0.4715331739
226	0.7861869979	0.4715073997
227	0.7861898225	0.4714832143
228	0.7862251296	0.4714616769
229	0.7862265419	0.4714415518
230	0.7862660859	0.4714176313
231	0.7863013931	0.471392828
232	0.7863338757	0.4713709817
233	0.7863423494	0.4713516952
234	0.7863437617	0.4713314818
235	0.7863367002	0.4713181092
236	0.7863875425	0.471292335
237	0.7863974285	0.4712756083
238	0.7864002531	0.4712526145
239	0.7864172005	0.4712363732
240	0.7864412094	0.4712238833
241	0.7864482708	0.4712036258
242	0.7864623937	0.4711846924
243	0.7864609814	0.4711653176
244	0.7864807534	0.4711400288
245	0.7865005254	0.4711257736
246	0.7865330079	0.4710834491
247	0.7865556045	0.471064957
248	0.7865725519	0.4710378588
249	0.7865330079	0.4710134527
250	0.7865372448	0.4710006098
251	0.7865231219	0.4709846333
252	0.7865711397	0.4709584177
253	0.7865894994	0.4709368362
254	0.7865894994	0.4709130039
255	0.7866262188	0.4708979101
256	0.7866262188	0.4708857291
257	0.7866375171	0.4708633532
258	0.7866375171	0.4708462734
259	0.7866346925	0.4708219115
260	0.7866502277	0.4708092892
261	0.7866728242	0.4707918563
262	0.7866671751	0.4707746882
263	0.7867010699	0.4707477665
264	0.7867067191	0.4707280386
265	0.7866911839	0.4707085755
