iter	Accuracy	Logloss
98	0.7856190829	0.4736742623
99	0.7856289072	0.4736157595
100	0.7856954947	0.4735848195
101	0.7857282426	0.4735453174
102	0.785699861	0.4734972189
103	0.7857227846	0.4734685645
104	0.7857337005	0.4734474489
105	0.7857402501	0.4734106757
106	0.7857380669	0.4733793946
107	0.7857489829	0.4733584496
108	0.7857631737	0.4733290788
109	0.7858024712	0.4732951029
110	0.785851593	0.4732596601
111	0.7858581426	0.4732298117
112	0.7858450434	0.4731941643
113	0.7858646922	0.4731638383
114	0.7859149056	0.4731375036
115	0.78592473	0.4730958523
116	0.7859498368	0.4730536212
117	0.7859432872	0.4730333243
118	0.7859749435	0.4729917754
119	0.7860076914	0.4729501582
120	0.7860611796	0.4728899839
121	0.7860720956	0.4728503794
122	0.7860950192	0.4728125829
123	0.7861004771	0.4727857364
124	0.7860808284	0.4727640068
125	0.7861026603	0.4727417655
126	0.7861397746	0.4726933941
127	0.786133225	0.4726488092
128	0.7861681562	0.4726228838
129	0.7861834385	0.4725970266
130	0.7861823469	0.472565882
131	0.7862085452	0.4725322813
132	0.7862773159	0.4724856837
133	0.7862696747	0.4724577798
134	0.7862816822	0.4724158556
135	0.7862587587	0.4723790824
136	0.786290415	0.4723441854
137	0.7862784074	0.4722912771
138	0.7862980562	0.4722449866
139	0.7863111554	0.4722067466
140	0.7863351705	0.4721811281
141	0.7863187965	0.4721482097
142	0.7863231629	0.4721196917
143	0.7863733764	0.4720768465
144	0.7863701016	0.4720513304
145	0.7863766512	0.4720118965
146	0.7864083075	0.4719728378
147	0.7864443302	0.4719445245
148	0.7864399638	0.4719150514
149	0.7864454218	0.4718841114
150	0.7864388722	0.4718634734
151	0.7864410554	0.4718255063
152	0.7864399638	0.4717932701
153	0.7864399638	0.4717521987
154	0.7864923605	0.4717196214
155	0.7864814445	0.4716817566
156	0.7865000016	0.4716504073
157	0.7865109176	0.471611758
158	0.7865076428	0.4715894485
159	0.7865131008	0.4715579286
160	0.7865633143	0.4715207802
161	0.7865600395	0.4714894991
162	0.7865971538	0.4714579451
163	0.7866735656	0.4714277898
164	0.7866833899	0.4714038087
165	0.7866921227	0.4713789749
166	0.7867128631	0.4713531518
167	0.7867565269	0.471331661
168	0.7867619849	0.4713037229
169	0.7867990992	0.4712686554
170	0.7867958244	0.4712471646
171	0.7868416715	0.4711949385
172	0.786864595	0.4711627023
173	0.7868514959	0.4711390282
174	0.7868984345	0.4711180491
175	0.7868656866	0.4710884396
176	0.7869017093	0.4710637081
177	0.7869115337	0.4710439229
178	0.7869344572	0.4710216133
179	0.7869257245	0.4710062287
180	0.7869355488	0.4709865799
181	0.7869279077	0.4709570386
182	0.7869606556	0.4709235061
183	0.7869759379	0.4708834922
184	0.7870032279	0.4708504373
185	0.7870130522	0.4708293558
186	0.7870294262	0.470808786
187	0.7870632657	0.4707828606
188	0.7870927388	0.4707583679
189	0.7871014716	0.4707279055
190	0.7871145707	0.4706976819
191	0.78710038	0.4706708696
192	0.7871178455	0.4706484918
193	0.7871396775	0.470618507
194	0.787173517	0.4706017237
195	0.7871909825	0.4705764123
196	0.7871811582	0.4705537276
197	0.7872313716	0.4705284503
198	0.7872226388	0.4705025931
