iter	PrecisionAt:top=10	RecallAt:top=10	MAP:top=10
0	0.07564102564	0.02227978271	0.03991096866
1	0.3333333333	0.03633155686	0.1928551079
2	0.3538461538	0.03780839885	0.2050218763
3	0.3987179487	0.0376999152	0.2201261701
4	0.4294871795	0.03743295135	0.2446047009
5	0.5269230769	0.03924663087	0.3709147334
6	0.5525641026	0.03959616713	0.40626221
7	0.5641025641	0.04197698925	0.4144836182
8	0.5961538462	0.04326860144	0.4438181726
9	0.5923076923	0.04278829176	0.4408221408
10	0.5974358974	0.04300482567	0.444006919
11	0.5987179487	0.04172820115	0.4504553317
12	0.6038461538	0.04255691987	0.4506863044
13	0.6025641026	0.04247087616	0.4500849613
14	0.6025641026	0.04247315841	0.4501790802
15	0.6115384615	0.04258785956	0.4590343915
16	0.6448717949	0.04372621685	0.496769943
17	0.6833333333	0.04353585441	0.531992267
18	0.6807692308	0.04398087995	0.5308811559
19	0.7064102564	0.04402286338	0.5465023403
20	0.7397435897	0.04408758714	0.5910907611
21	0.7397435897	0.04408063671	0.5945675621
22	0.7628205128	0.04522981973	0.622047212
23	0.7666666667	0.04533491374	0.6304466829
24	0.7564102564	0.04521690857	0.6115786528
25	0.7525641026	0.04472198086	0.609490232
26	0.7487179487	0.04406822257	0.6060200448
27	0.7487179487	0.04406822257	0.6051378714
28	0.7487179487	0.04455512957	0.6031593407
29	0.7448717949	0.04377983703	0.598491046
30	0.7435897436	0.04383851449	0.5974007937
31	0.7448717949	0.04359405426	0.6033480871
32	0.7384615385	0.04361199922	0.5965740741
33	0.7371794872	0.04354163386	0.5981089744
34	0.741025641	0.04407121013	0.5971199634
35	0.7423076923	0.04407666799	0.5979258242
36	0.7397435897	0.04407710161	0.5931878307
37	0.7448717949	0.04495997532	0.5959076109
38	0.7448717949	0.04495997532	0.5973448311
39	0.7474358974	0.04467034327	0.5992806268
40	0.7461538462	0.04453218033	0.5995879121
41	0.7474358974	0.04488615328	0.6005865893
42	0.7461538462	0.04486882801	0.5981405169
43	0.7448717949	0.04473327868	0.5964000814
44	0.7512820513	0.04485097449	0.6050045788
45	0.7461538462	0.04491010718	0.5997603785
46	0.7474358974	0.04482955782	0.5987937525
47	0.7448717949	0.04449723755	0.5974160562
48	0.7448717949	0.04425869859	0.5986579162
49	0.741025641	0.04418446898	0.5965883191
50	0.7461538462	0.04385056059	0.6039626577
51	0.7435897436	0.04368152654	0.6018198006
52	0.7307692308	0.04349186064	0.5949801587
53	0.7397435897	0.0435856879	0.6012606838
54	0.7423076923	0.0435744176	0.6021499796
55	0.7423076923	0.04343740651	0.6033964184
56	0.7371794872	0.04365154348	0.6044581807
57	0.7384615385	0.0439081122	0.6064387464
58	0.7371794872	0.0436193165	0.6049043549
59	0.741025641	0.04368238725	0.6076928164
60	0.7358974359	0.04336333548	0.6015644078
61	0.7358974359	0.04330774641	0.5992348392
62	0.741025641	0.04338650229	0.6037098087
63	0.7423076923	0.04349798501	0.6043187831
64	0.7371794872	0.0434093897	0.600263024
65	0.7371794872	0.04339627409	0.5999842287
66	0.7358974359	0.0432066982	0.5984533985
67	0.7384615385	0.04360616975	0.6016844729
68	0.7371794872	0.04351824558	0.5996957672
69	0.7358974359	0.04350259172	0.5980937118
70	0.7371794872	0.04337471768	0.6017485755
71	0.7384615385	0.04327664214	0.6028937729
72	0.7346153846	0.04351837605	0.5965995116
73	0.7384615385	0.04363751435	0.5990471103
74	0.7371794872	0.04362552136	0.5963146113
75	0.7384615385	0.0436529989	0.598246337
76	0.7423076923	0.04376876939	0.6007127595
77	0.7384615385	0.0437863944	0.5966712454
78	0.7384615385	0.0434511979	0.5942409442
79	0.7358974359	0.04325635396	0.5931344119
80	0.7371794872	0.04323418207	0.5943727106
81	0.7371794872	0.04333111924	0.5928871591
82	0.7397435897	0.04358740139	0.5969347782
83	0.7423076923	0.04317675942	0.601231685
84	0.7384615385	0.04306833684	0.5963181726
85	0.7346153846	0.04281761397	0.5944373219
86	0.741025641	0.04327998792	0.5995502646
87	0.7423076923	0.04328024428	0.5996245421
88	0.7397435897	0.04325494163	0.5981751119
89	0.7384615385	0.0432522204	0.5957086895
90	0.7384615385	0.04407363983	0.5951205739
91	0.7448717949	0.04403443257	0.6038619251
92	0.7371794872	0.04385302825	0.5950758038
93	0.7371794872	0.04409793838	0.5948046398
94	0.7358974359	0.04397554853	0.5944088319
95	0.7397435897	0.0437725341	0.5974425112
96	0.7384615385	0.04370093766	0.5970599308
97	0.7487179487	0.0439215269	0.6061482499
98	0.7461538462	0.04375379716	0.603211742
99	0.7474358974	0.04382309723	0.6041921042
100	0.7397435897	0.04335914932	0.5963069801
101	0.7397435897	0.04388162476	0.595762617
102	0.7474358974	0.0440273403	0.6068722019
103	0.7487179487	0.04408102676	0.6072344322
104	0.7461538462	0.04407820425	0.6043498168
105	0.7448717949	0.04382587285	0.6045278795
106	0.7448717949	0.04382159549	0.6047909035
107	0.7474358974	0.04416960236	0.6069856532
108	0.7461538462	0.04409921563	0.6076200651
109	0.7435897436	0.04392460924	0.6054828042
110	0.7435897436	0.04436570936	0.6029370167
111	0.7474358974	0.04435044222	0.6057824583
112	0.7461538462	0.04440359478	0.6047827635
113	0.7512820513	0.04457356323	0.6081435694
114	0.7512820513	0.04422952263	0.6069037444
115	0.7474358974	0.04420987547	0.6033633496
116	0.7474358974	0.0442098223	0.6048066748
