iter	Passed	Remaining
399	33928	8482
400	34002	8394
401	34076	8307
402	34151	8220
403	34254	8139
404	34377	8063
405	34462	7979
406	34564	7898
407	34659	7815
408	34752	7732
409	34826	7644
410	34905	7558
411	34979	7471
412	35072	7388
413	35177	7307
414	35268	7223
415	35363	7140
416	35446	7055
417	35521	6968
418	35594	6880
419	35689	6797
420	35776	6713
421	35875	6631
422	35967	6547
423	36072	6465
424	36153	6379
425	36250	6296
426	36337	6212
427	36411	6125
428	36498	6040
429	36568	5953
430	36669	5870
431	36741	5783
432	36815	5696
433	36892	5610
434	36980	5525
435	37079	5442
436	37151	5355
437	37225	5269
438	37328	5186
439	37426	5103
440	37522	5019
441	37592	4932
442	37669	4846
443	37744	4760
444	37825	4675
445	37906	4589
446	38007	4506
447	38085	4420
448	38179	4336
449	38265	4251
450	38372	4169
451	38448	4083
452	38520	3996
453	38613	3912
454	38702	3827
455	38806	3744
456	38881	3658
457	38990	3575
458	39069	3489
459	39140	3403
460	39219	3317
461	39299	3232
462	39385	3147
463	39484	3063
464	39558	2977
465	39643	2892
466	39721	2806
467	39795	2721
468	39885	2636
469	39979	2551
470	40073	2467
471	40146	2381
472	40214	2295
473	40290	2210
474	40365	2124
475	40437	2038
476	40544	1954
477	40617	1869
478	40696	1784
479	40771	1698
480	40877	1614
481	40984	1530
482	41067	1445
483	41143	1360
484	41231	1275
485	41304	1189
486	41380	1104
487	41455	1019
488	41526	934
489	41613	849
490	41708	764
491	41797	679
492	41872	594
493	41948	509
494	42025	424
495	42117	339
496	42251	255
497	42342	170
498	42440	85
499	42537	0
