iter	Accuracy	Logloss
115	0.7987140252	0.4584389567
116	0.7987655525	0.4584090812
117	0.7987839551	0.4583832025
118	0.798769233	0.4583423429
119	0.7988078785	0.4582965952
120	0.7988667669	0.4582522851
121	0.7989054124	0.4582103329
122	0.7989017319	0.4581772657
123	0.7989201345	0.4581485404
124	0.7989495787	0.4581043454
125	0.7989808631	0.4580823772
126	0.7989919047	0.4580470672
127	0.7989790229	0.4580069553
128	0.7989790229	0.4579615526
129	0.7990250294	0.4579092201
130	0.7990581541	0.4578612008
131	0.7990820775	0.4578099898
132	0.799085758	0.4577809194
133	0.7991115217	0.4577531429
134	0.7991740906	0.4576980789
135	0.7991906529	0.457676427
136	0.7992366595	0.4576346761
137	0.7992513816	0.4576043693
138	0.7992311387	0.457579152
139	0.7992697842	0.4575297237
140	0.7992532218	0.457489928
141	0.7992624231	0.4574528065
142	0.7993121102	0.4573956146
143	0.7992771452	0.4573693046
144	0.7993231518	0.4573287326
145	0.7993636375	0.4572907197
146	0.7993691583	0.4572608154
147	0.7993617973	0.457215269
148	0.7993746791	0.4571859973
149	0.7994225259	0.4571438726
150	0.7993930817	0.4571180226
151	0.7994059636	0.4570850705
152	0.7994262064	0.4570484953
153	0.799437248	0.4570030638
154	0.7994758935	0.4569712043
155	0.799479574	0.4569263479
156	0.7994887753	0.4568855458
157	0.7994685324	0.4568502358
158	0.7994869351	0.4568234945
159	0.7995108585	0.4567973571
160	0.7995403026	0.4567720535
161	0.799549504	0.4567402802
162	0.799549504	0.4567020948
163	0.7995587053	0.4566731682
164	0.7995734274	0.4566467432
165	0.7996231144	0.4566129571
166	0.7996157534	0.4565790273
167	0.79959183	0.456559417
168	0.799599191	0.4565272412
169	0.799641517	0.4565022539
170	0.7996249547	0.4564583176
171	0.7996875236	0.4564324389
172	0.7997059262	0.4564025634
173	0.7996838431	0.4563719116
174	0.7997169678	0.4563434738
175	0.7997427314	0.4563014928
176	0.7997298496	0.4562782308
177	0.7997500925	0.4562506268
178	0.799761134	0.456230959
179	0.7997740159	0.4561913359
180	0.7998145016	0.4561583262
181	0.7997813769	0.4561243389
182	0.7998347445	0.4560988915
183	0.7998255432	0.456070425
184	0.7998568276	0.456042706
185	0.7998549874	0.4560135781
186	0.7998715497	0.4559926164
187	0.799880751	0.4559597217
188	0.7999120355	0.4559340731
189	0.7999433199	0.4559029612
190	0.7999617226	0.4558812231
191	0.7999598823	0.4558560632
192	0.7999635628	0.455798325
193	0.7999451602	0.4557724464
194	0.7999304381	0.4557515996
195	0.7999654031	0.4557339734
196	0.7999414797	0.4556920212
197	0.799958042	0.455667724
198	0.7999985278	0.4556393724
199	0.8000206109	0.4556195034
200	0.8000224512	0.4555854585
201	0.8000114096	0.4555612476
202	0.8000426941	0.4555318897
203	0.8000500551	0.4555008065
204	0.8000813396	0.455474669
205	0.8001181448	0.455442867
206	0.8001512695	0.4554183398
207	0.8001715124	0.4553911384
208	0.8002064774	0.4553595089
209	0.8002027968	0.4553309273
210	0.8002469631	0.4553128985
211	0.8002782476	0.4552845182
212	0.8003003307	0.4552621476
213	0.8002800878	0.4552364127
214	0.8002727268	0.4552144445
215	0.8002561644	0.4551863518
216	0.8002616852	0.4551627447
217	0.8002837683	0.4551473325
218	0.8002874489	0.4551249906
219	0.8002782476	0.4551046327
220	0.8002764073	0.4550796166
221	0.8002966502	0.4550517827
222	0.8002800878	0.4550114982
223	0.8002911294	0.4549948783
224	0.8003003307	0.4549718751
225	0.8002892891	0.4549521785
226	0.8003205736	0.4549257822
227	0.800344497	0.4549019451
228	0.8003536983	0.4548772166
229	0.8003500178	0.4548577213
230	0.8003628996	0.4548232739
231	0.8003794619	0.454791817
232	0.8004052256	0.4547712578
233	0.8004144269	0.4547452641
234	0.8004125867	0.4547291043
235	0.8004162672	0.4547017304
236	0.8004438711	0.4546808262
237	0.8004622737	0.4546552638
238	0.8004622737	0.4546351934
239	0.8004917179	0.4546204713
240	0.8005174816	0.4545752412
241	0.8005358842	0.4545575862
242	0.80050644	0.4545322251
243	0.8005874115	0.4545081579
244	0.8005616478	0.4544794901
245	0.8005653284	0.4544577807
246	0.8006002933	0.4544227007
247	0.8006481401	0.4543938891
248	0.8006315778	0.4543704833
249	0.8006573414	0.454341758
250	0.8006591817	0.4543289337
251	0.8006573414	0.4543097834
252	0.8006775843	0.4542923009
253	0.8006849454	0.454248796
254	0.8007530351	0.4542231186
255	0.8007364727	0.4541924955
256	0.8007732779	0.4541734891
257	0.8007824792	0.4541583356
258	0.8007677571	0.4541359937
259	0.8008082429	0.4541042205
260	0.8008082429	0.4540769903
261	0.8008027221	0.4540488976
262	0.8008137637	0.4540372234
263	0.8008542494	0.4540083831
264	0.8008505689	0.4539992105
265	0.8008524092	0.4539749708
266	0.8008560897	0.4539584372
267	0.8008818534	0.4539232997
268	0.8008800131	0.453898485
269	0.8009112976	0.4538720024
270	0.8008984157	0.4538536573
271	0.8009039365	0.4538347947
272	0.8009241794	0.4538115326
273	0.8009149781	0.4537927562
274	0.8009204989	0.4537635995
275	0.8009315404	0.453742034
276	0.800949943	0.4537205259
277	0.8009536236	0.4537007431
278	0.8009407417	0.4536869124
279	0.800949943	0.453659366
280	0.8009922691	0.4536372828
281	0.8010161925	0.4536112604
282	0.8010161925	0.4535879408
283	0.801019873	0.4535645637
284	0.8010125119	0.4535430269
285	0.8010474769	0.4535228703
286	0.8010253938	0.4535002696
287	0.8010217132	0.4534695027
288	0.8010364353	0.4534495474
289	0.8010474769	0.4534261703
290	0.8010401159	0.4534059849
291	0.8010051509	0.4533873235
292	0.801027234	0.4533793874
293	0.801019873	0.4533594321
294	0.8010161925	0.4533442499
295	0.8010143522	0.4533351061
296	0.8010253938	0.4533219655
297	0.8010493172	0.4533077322
298	0.8010677198	0.453290106
299	0.8010787614	0.4532693743
300	0.8010493172	0.4532447608
301	0.8010640393	0.4532339205
302	0.8011210874	0.4532189109
303	0.8010842821	0.4532020897
304	0.8011100458	0.4531788852
305	0.8011192471	0.4531694826
306	0.8011063653	0.4531511375
307	0.8011284484	0.4531335112
308	0.8011634134	0.4531208882
309	0.8011652537	0.4531047284
310	0.8011799757	0.4530870446
311	0.8011983784	0.4530709998
312	0.801174455	0.4530517633
313	0.8011928576	0.4530387665
314	0.8011910173	0.4530214853
315	0.8011928576	0.4530072233
316	0.8012333433	0.452993335
317	0.8012480654	0.4529688653
318	0.8012407044	0.4529485937
319	0.8012830304	0.4529305649
320	0.8012830304	0.4529135424
321	0.8012922317	0.4528989066
322	0.8013032733	0.4528844145
323	0.8013069538	0.452873833
324	0.8013253564	0.4528502547
325	0.8013216759	0.4528390406
326	0.8013051135	0.4528197466
327	0.8012867109	0.4527986699
328	0.8012867109	0.4527847529
329	0.8013124746	0.4527691969
330	0.8013253564	0.4527586442
331	0.8013161551	0.452739839
332	0.8013032733	0.4527212351
333	0.8013216759	0.4526951839
334	0.8013235162	0.4526742509
335	0.8013032733	0.4526566247
336	0.8013235162	0.4526406949
337	0.8013695227	0.4526163977
338	0.801378724	0.4525956948
339	0.801413689	0.4525767171
340	0.8013732032	0.4525583144
341	0.8013934461	0.4525471003
342	0.8014173695	0.4525297329
343	0.8014284111	0.4525153846
344	0.8014468137	0.4524933302
345	0.8014523345	0.4524778605
346	0.8014468137	0.4524569275
347	0.8014965007	0.4524345568
348	0.8014578552	0.4524187133
349	0.80149098	0.4523864513
350	0.8015020215	0.4523729656
351	0.8015001813	0.4523588473
352	0.8014854592	0.4523419112
353	0.8014762579	0.4523280517
354	0.8014965007	0.4523061986
355	0.8015149034	0.4522851794
356	0.8015149034	0.4522727288
357	0.8015149034	0.4522554476
358	0.8015167436	0.4522234731
359	0.801540667	0.4521980545
360	0.8015701112	0.4521826135
361	0.8015627502	0.4521668275
362	0.8015443475	0.4521550384
363	0.8015461878	0.4521463834
364	0.8015701112	0.452133329
365	0.8015866736	0.45211392
366	0.8016161177	0.4520910605
367	0.8016124372	0.4520733192
368	0.8016418814	0.4520481882
369	0.8016382009	0.4520307344
370	0.8016547632	0.4520041657
371	0.8016566035	0.4519875746
372	0.8016584438	0.4519741751
373	0.8016823672	0.4519579866
374	0.8016823672	0.4519403603
375	0.8016786866	0.4519155743
376	0.8016768464	0.4519046765
377	0.8016842074	0.4518908746
378	0.8017007698	0.45186767
379	0.8017283737	0.4518429702
380	0.8017412555	0.4518213184
381	0.8017854218	0.4517964749
382	0.8017688595	0.4517879062
383	0.8017743802	0.4517700499
384	0.8017872621	0.451750037
385	0.8017872621	0.4517318645
386	0.8017946231	0.4517184363
387	0.8018203868	0.451709235
388	0.8018019842	0.4516874969
389	0.8018277478	0.4516752189
390	0.8019068791	0.4516533945
391	0.8019123999	0.4516390175
392	0.8018663933	0.4516247842
